类型,情绪ID,情绪名称,心语内容,作者
情绪,regret,懊悔 - 8条,错误是老师，教会我们更好的方式,MoodFlow
情绪,regret,懊悔 - 8条,放下过去，才能拥抱更好的未来,MoodFlow
情绪,regret,懊悔 - 8条,你值得被原谅，尤其是被自己,MoodFlow
情绪,regret,懊悔 - 8条,今天的你，比昨天更智慧,MoodFlow
情绪,calm,平静 - 8条,享受这份宁静，这是你内心的港湾,MoodFlow
情绪,calm,平静 - 8条,平静是最珍贵的状态，好好珍惜,MoodFlow
情绪,calm,平静 - 8条,此刻的你，与自己和解,MoodFlow
情绪,calm,平静 - 8条,内心的安宁，是最好的礼物,MoodFlow
情绪,calm,平静 - 8条,让这份平静成为你的力量,MoodFlow
情绪,calm,平静 - 8条,你找到了属于自己的节奏,MoodFlow
情绪,calm,平静 - 8条,平静不是没有波澜，而是学会航行,MoodFlow
情绪,calm,平静 - 8条,这份宁静，是你给自己的温柔,MoodFlow
情绪,anticipation,期待 - 8条,期待让生活充满色彩,MoodFlow
情绪,anticipation,期待 - 8条,美好的事情正在向你走来,MoodFlow
情绪,anticipation,期待 - 8条,保持这份憧憬，它会成真,MoodFlow
情绪,anticipation,期待 - 8条,期待是心灵的翅膀,MoodFlow
情绪,anticipation,期待 - 8条,你的期待，宇宙都听到了,MoodFlow
情绪,anticipation,期待 - 8条,带着希望前行，路会越走越宽,MoodFlow
情绪,anticipation,期待 - 8条,期待的过程，本身就是一种幸福,MoodFlow
情绪,anticipation,期待 - 8条,相信美好的事情即将发生,MoodFlow
情绪,content,满足 - 8条,知足是幸福的起点,MoodFlow
情绪,content,满足 - 8条,你拥有的一切，都值得感恩,MoodFlow
情绪,content,满足 - 8条,满足是内心最踏实的幸福,MoodFlow
情绪,content,满足 - 8条,此刻的你，刚刚好,MoodFlow
情绪,content,满足 - 8条,感恩让平凡的日子闪闪发光,MoodFlow
情绪,content,满足 - 8条,你已经拥有很多，珍惜当下,MoodFlow
情绪,content,满足 - 8条,满足不是停止，而是懂得欣赏,MoodFlow
情绪,content,满足 - 8条,内心的富足，胜过一切,MoodFlow
情绪,doubt,怀疑 - 8条,不确定是正常的，答案会浮现,MoodFlow
情绪,doubt,怀疑 - 8条,怀疑是思考的开始，不是终点,MoodFlow
情绪,doubt,怀疑 - 8条,相信你的直觉，它很少出错,MoodFlow
情绪,doubt,怀疑 - 8条,迷茫时，先停下来听听内心,MoodFlow
情绪,doubt,怀疑 - 8条,答案就在你心里，只是需要安静,MoodFlow
情绪,doubt,怀疑 - 8条,怀疑让你更谨慎，这是优点,MoodFlow
情绪,doubt,怀疑 - 8条,不必急于确定，给自己时间,MoodFlow
情绪,doubt,怀疑 - 8条,困惑时，信息会自然清晰,MoodFlow
情绪,stress,压力 - 8条,压力是成长的催化剂，适度就好,MoodFlow
情绪,stress,压力 - 8条,你不需要一直坚强，允许自己脆弱,MoodFlow
情绪,stress,压力 - 8条,把大压力拆成小步骤，一步步来,MoodFlow
情绪,stress,压力 - 8条,深呼吸，告诉自己：我可以,MoodFlow
情绪,stress,压力 - 8条,压力会过去，你会更强大,MoodFlow
情绪,stress,压力 - 8条,记得给自己留白的时间,MoodFlow
情绪,stress,压力 - 8条,你已经扛过很多，这次也可以,MoodFlow
情绪,stress,压力 - 8条,放下完美主义，完成比完美重要,MoodFlow
